tconst	primaryTitle	startYear	genres	rating	votes
tt0093058	Full Metal Jacket	1987	Drama,War	8.2	819318
tt1745960	Top Gun: Maverick	2022	Action,Drama	8.2	769217
tt8579674	1917	2019	Action,Drama,War	8.2	724093
tt0457430	Pan's Labyrinth	2006	Drama,Fantasy,War	8.2	723163
tt0469494	There Will Be Blood	2007	Drama	8.2	668490
tt0119488	L.A. Confidential	1997	Crime,Drama,Mystery	8.2	639283
tt6966692	Green Book	2018	Biography,Comedy,Drama	8.2	631106
tt0112641	Casino	1995	Crime,Drama	8.2	590021
tt0071853	Monty Python and the Holy Grail	1975	Adventure,Comedy,Fantasy	8.2	586202
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	2003	Action,Adventure,Fantasy	8.1	1261573
tt0434409	V for Vendetta	2005	Action,Drama,Sci-Fi	8.1	1212231
tt1392190	Mad Max: Fury Road	2015	Action,Adventure,Sci-Fi	8.1	1161447
tt0264464	Catch Me If You Can	2002	Biography,Crime,Drama	8.1	1159299
tt2267998	Gone Girl	2014	Drama,Mystery,Thriller	8.1	1117022
tt0198781	Monsters, Inc.	2001	Adventure,Animation,Comedy	8.1	1024097
tt1201607	Harry Potter and the Deathly Hallows: Part 2	2011	Adventure,Family,Fantasy	8.1	993489
tt0088247	The Terminator	1984	Action,Adventure,Sci-Fi	8.1	961436
tt2278388	The Grand Budapest Hotel	2014	Comedy,Drama	8.1	923481
tt0118715	The Big Lebowski	1998	Comedy,Crime	8.1	888201
tt3315342	Logan	2017	Action,Drama,Sci-Fi	8.1	886377
tt0382932	Ratatouille	2007	Adventure,Animation,Comedy	8.1	880785
tt2096673	Inside Out	2015	Adventure,Animation,Comedy	8.1	863311
tt0083658	Blade Runner	1982	Action,Drama,Sci-Fi	8.1	852008
tt0892769	How to Train Your Dragon	2010	Action,Adventure,Animation	8.1	840330
tt1205489	Gran Torino	2008	Drama	8.1	837256
tt2024544	12 Years a Slave	2013	Biography,Drama,History	8.1	762908
tt0116282	Fargo	1996	Crime,Drama,Thriller	8.1	753795
tt0117951	Trainspotting	1996	Drama	8.1	747616
tt0405159	Million Dollar Baby	2004	Drama,Sport	8.1	744534
tt0073195	Jaws	1975	Adventure,Drama,Horror	8.1	691908
tt0075148	Rocky	1976	Drama,Sport	8.1	657561
tt2119532	Hacksaw Ridge	2016	Biography,Drama,History	8.1	634024
tt0120735	Lock, Stock and Two Smoking Barrels	1998	Comedy,Crime	8.1	633688
tt0097165	Dead Poets Society	1989	Comedy,Drama	8.1	588091
tt5027774	Three Billboards Outside Ebbing, Missouri	2017	Comedy,Crime,Drama	8.1	580970
tt1979320	Rush	2013	Biography,Drama,Sport	8.1	532619
tt1950186	Ford v Ferrari	2019	Action,Biography,Drama	8.1	519011
tt1895587	Spotlight	2015	Biography,Crime,Drama	8.1	517415
tt1291584	Warrior	2011	Action,Drama,Sport	8.1	512905
tt1454029	The Help	2011	Drama	8.1	511361
tt0848228	The Avengers	2012	Action,Sci-Fi	8.0	1503755
tt2015381	Guardians of the Galaxy	2014	Action,Adventure,Comedy	8.0	1313442
tt1431045	Deadpool	2016	Action,Comedy,Sci-Fi	8.0	1202111
tt3659388	The Martian	2015	Adventure,Drama,Sci-Fi	8.0	965130
tt1160419	Dune: Part One	2021	Action,Adventure,Drama	8.0	951666
