tconst	primaryTitle	startYear	genres	rating	votes
tt0119116	The Fifth Element	1997	Action,Adventure,Sci-Fi	7.6	525706
tt0087992	Life	1984	Drama	8.0	102
tt0183790	A Knight's Tale	2001	Action,Adventure,Drama	7.0	210053
tt0383028	Synecdoche, New York	2008	Drama	7.5	101318
tt0079944	Stalker	1979	Drama,Sci-Fi	8.0	150864
tt0425112	Hot Fuzz	2007	Action,Comedy,Mystery	7.8	550745
tt0070544	Fantastic Planet	1973	Animation,Sci-Fi	7.7	39532
tt0380235	Bridesmaids	1996	Comedy,Drama	6.3	14
tt0266697	Kill Bill: Vol. 1	2003	Action,Crime,Thriller	8.2	1246870
tt0139654	Training Day	2001	Crime,Drama,Thriller	7.8	494417
tt0120812	Rush Hour	1998	Action,Comedy,Crime	7.0	310364
tt0113843	Mommy	1995	Horror,Mystery,Thriller	4.8	466
tt0109424	Chungking Express	1994	Comedy,Crime,Drama	7.9	103154
tt0095613	Memories of Me	1988	Comedy,Drama	5.6	1300
tt0337717	Shelter Island	2003	Thriller	3.9	861
tt0120889	What Dreams May Come	1998	Drama,Fantasy,Romance	7.0	117270
tt0111670	Warriors	1994	Action,Drama	4.4	624
tt0280711	The Wives of Others	1978	Adult	5.7	48
tt0117666	Sling Blade	1996	Drama	8.0	101678
tt0977658	Interception	2009	Action	2.6	282
tt0175880	Magnolia	1999	Drama	8.0	337256
tt0118715	The Big Lebowski	1998	Comedy,Crime	8.1	888201
tt0087995	Repo Man	1984	Comedy,Crime,Sci-Fi	6.8	43499
tt0095016	Die Hard	1988	Action,Thriller	8.2	987504
tt0070716	Superdad	1973	Comedy,Family	5.1	895
tt0117951	Trainspotting	1996	Drama	8.1	747616
tt0083307	Friday	1980	Drama	6.0	198
tt0247638	The Princess Diaries	2001	Comedy,Family,Romance	6.4	172919
tt0120737	The Lord of the Rings: The Fellowship of the Ring	2001	Adventure,Drama,Fantasy	8.9	2100667
tt0095953	Rain Man	1988	Drama	8.0	563552
tt0075791	The Brothers	1977	Drama,Romance	6.8	29
tt1504320	The King's Speech	2010	Biography,Drama,History	8.0	720556
tt0111659	Wall	1994	Drama,Romance	2.8	7
tt0101640	Raise the Red Lantern	1991	Drama,Romance	8.1	36538
tt1139797	Let the Right One In	2008	Drama,Fantasy,Horror	7.8	232994
tt0108550	What's Eating Gilbert Grape	1993	Drama	7.7	261391
tt1517268	Barbie	2023	Adventure,Comedy,Fantasy	6.8	603844
tt0364569	Oldboy	2003	Action,Drama,Mystery	8.3	675964
tt0245712	Amores Perros	2000	Drama,Thriller	8.0	265611
tt0347149	Howl's Moving Castle	2004	Adventure,Animation,Family	8.2	480560
tt0073195	Jaws	1975	Adventure,Drama,Horror	8.1	691908
tt0099487	Edward Scissorhands	1990	Drama,Fantasy,Romance	7.9	544916
tt0093565	Moonstruck	1987	Comedy,Drama,Romance	7.2	73666
tt0080339	Airplane!	1980	Comedy	7.7	272757
tt0111495	Three Colors: Red	1994	Drama,Mystery,Romance	8.1	113582
tt0103074	Thelma & Louise	1991	Adventure,Crime,Drama	7.6	182915
tt0251369	The Remnant	2001	Horror,Sci-Fi,Thriller	3.4	141
tt0089606	My Life as a Dog	1985	Comedy,Drama	7.6	23225
tt0780536	In Bruges	2008	Comedy,Crime,Drama	7.9	478245
tt0087843	Once Upon a Time in America	1984	Crime,Drama	8.3	393808
tt0095705	The Naked Gun: From the Files of Police Squad!	1988	Comedy,Crime	7.6	194534
tt0374271	In Your Name	2003	Action,Drama,Romance	7.2	21590
tt0190332	Crouching Tiger, Hidden Dragon	2000	Action,Adventure,Drama	7.9	287667
tt0113568	Ghost in the Shell	1995	Action,Animation,Crime	7.9	164516
tt0109445	Clerks	1994	Comedy	7.7	236515
tt11813216	The Banshees of Inisherin	2022	Comedy,Drama	7.7	277454
